Area,Bedrooms,Bathrooms,Age,Parking,Location,Price
1200,2,2,5,1,City,4500000
1500,3,2,4,1,City,5500000
1800,3,3,3,2,City,6800000
1000,2,1,10,1,Suburb,3500000
2200,4,3,2,2,City,8500000
1300,2,2,8,1,Suburb,4200000
1700,3,2,6,1,City,6000000
2500,4,3,1,2,City,9500000
1100,2,1,12,1,Suburb,3200000
2000,4,3,5,2,City,7800000
1400,3,2,7,1,Suburb,4800000
1900,3,3,4,2,City,7200000
1600,3,2,5,1,City,5900000
2300,4,3,3,2,City,8800000
1250,2,2,9,1,Suburb,4000000
2100,4,3,6,2,City,8100000
1550,3,2,8,1,Suburb,5200000
1750,3,2,5,1,City,6400000
2700,5,4,2,3,City,10500000
1150,2,1,11,1,Suburb,3600000
